Year,max(Cell_Phones),min(Cell_Phones),avg(Cell_Phones)
1980,23500,0,109.8131
1981,28300,0,297.5234
1982,33900,0,474.4393
1983,42200,0,695.6075
1984,91600,0,1491.5421
1985,340000,0,3506.5514
1986,682000,0,6778.9860
1987,1230000,0,11891.0701
1988,2070000,0,20225.4486
1989,3510000,0,34193.2991
1990,5280000,0,51961.6869
1991,7560000,0,75156.0374
1992,11000000,0,106691.1308
1993,16000000,0,157068.6589
1994,24100000,0,256525.7243
1995,33800000,0,420513.3224
1996,44000000,0,672975.6449
1997,55300000,0,997323.5514
1998,69200000,0,1464500.8692
1999,86000000,0,2239376.7196
2000,109000000,0,3364408.8411
2001,145000000,0,4391717.3692
2002,206000000,0,5326947.3178
2003,270000000,0,6494181.8879
2004,335000000,0,8123917.5654
2005,393000000,0,10204434.3925
2006,461000000,0,12723083.4112
2007,547000000,0,15624430.6075
2008,641000000,0,18709423.3645
2009,747000000,0,21534078.0841
2010,859000000,0,24618000.4673
2011,986000000,0,27385345.9346
2012,1110000000,0,29110927.5701
2013,1230000000,0,30997239.2523
2014,1290000000,0,32435584.1121
2015,1290000000,0,33174483.1776
2016,1360000000,0,34669369.6262
2017,1470000000,0,35835339.2523
2018,1650000000,0,36577820.0935
2019,1750000000,0,38261955.1402
2020,1720000000,0,38491833.6449
2021,1730000000,0,39453069.6262
2022,1770000000,0,39496214.9533
2023,1810000000,0,32126400.9346
